index_col,tweet_text,country,no_user_mentions,ukraine,russia,ukrainewar,istandwithukraine,standwithukraineflag,istandwithputin,istandwithrussia,russianukrainewar
159,update yesterday attack rus hq designed liquidate high value target chief g ,United States,1,1,0,0,0,0,0,0,0
160,update yesterday attack rus hq designed liquidate high value target chief g ,Greece,1,1,0,0,0,0,0,0,0
161,wake ,Ireland,0,0,0,1,0,0,0,0,0
162,volunteers glory heroes ,Canada,1,1,0,0,0,0,0,0,0
163,yesterday moment attack high ranked russian military officers gathered hqs ,Greece,1,1,0,0,0,0,0,0,0
164,yesterday moment attack high ranked russian military officers gathered hqs ,United States,1,1,0,0,0,0,0,0,0
165,almost ,Greece,1,0,0,0,0,0,0,0,0
166, absent conflict areas past years ,United Kingdom,2,1,0,0,0,0,0,0,0
167,destroyed ukrainian ps air defense system consists launcher radar illumination target tracki ,United Arab Emirates,0,0,0,0,0,0,0,0,0
168,occupied territories military destroying medical infrastructure removing equipment equip ,Canada,1,0,0,0,0,0,0,0,0
169,watch exclusive army chief gen manoj pande amp talks border ,India,3,0,0,0,0,0,0,0,0
170,soldiers killed surely another cost war would matter normal people russians though ,Canada,1,0,1,0,0,0,0,0,0
171,one hand ,Sweden,1,0,0,0,0,0,0,0,0
172,volunteers glory heroes ,Romania,1,1,0,0,0,0,0,0,0
173,speaker pelosi known interest international relations around years recall ,United Kingdom,1,0,0,0,0,0,0,0,0
174,world focuses urge amp un members forget tigray region cut fr ,Germany,1,1,0,0,0,0,0,0,0
175,thread presentation captured russian mvm english subtitles parts ,Poland,1,1,0,0,0,0,0,0,0
176,occupied territories military destroying medical infrastructure removing equipment equip ,Poland,1,0,0,0,0,0,0,0,0
177, ukrainian tank amp quot ural amp quot destroyed lugansk people amp republic elements dynamic ,Ukraine,0,0,0,0,0,0,0,0,0
178,intel work behind attacks impressive even russian opsec abysmal looks like ,Germany,1,0,0,0,0,0,0,0,0
179,minister jw cnn ,Canada,0,0,0,0,0,0,0,0,0
180,found der spiegel tv dvd issues der krieg ,Ukraine,0,1,0,0,0,0,0,0,0
181,year old boy sees world raped soldier front mother find ,Poland,1,0,1,0,0,0,0,0,0
182,icon among completely destroyed buildings borodyanka ,Australia,1,1,0,0,0,0,0,0,0
183,village gorenka elderly lady bakes easter cakes ruined house people lost everything ,Netherlands,1,1,0,0,0,0,0,0,0
184,finish war covid logical smart lose money ,Cyprus,0,0,1,0,0,0,0,0,0
185,thank visit victorious amp meeting mr president ,United States,2,1,0,0,0,0,0,0,0
186,modified commercial drone dropped munition ukrainian nd mechanized brigade released footage ,United Kingdom,1,0,0,0,0,0,0,0,0
187,another reminder frontline troops need proper protection glory ,Spain,3,1,0,0,0,0,0,0,0
188,world focuses urge amp un members forget tigray region cut fro ,Saudi Arabia,1,1,0,0,0,0,0,0,0
189,breaking gen gerasimov leg ,Colombia,1,0,0,0,0,0,0,0,0
190,modified commercial drone dropped munition ukrainian nd mechanized brigade released footage ,Canada,1,0,0,0,0,0,0,0,0
191,people shown strength courage patriotism amp dedication faux pa ,Canada,1,1,0,0,0,0,0,0,0
192,occupied territories military destroying medical infrastructure removing equipment equip ,China,1,0,0,0,0,0,0,0,0
193,railway bridge destroyed kursk region later governor region said collapse railway bridg ,Japan,1,0,0,0,0,0,0,0,0
194,hey thanks love doctors ,Ireland,3,1,0,0,0,0,0,0,0
195,decides propaganda liberals declare war stay away r ,Canada,1,0,1,0,0,0,0,0,0
196,sanctions making tremendous effect trying attract third countries minimize devastating ,Philippines,1,0,1,0,0,0,0,0,0
197,propaganda lies authorities release photos reality taken shot chil ,Australia,1,1,0,0,0,0,0,0,0
198,watch video idiot one comedian parodies sa ,Malaysia,1,0,1,0,0,0,0,0,0
199,little fun battle russian invaders ,United States,1,1,1,0,0,0,0,0,0
200, destroys military equipment occupiers nd mechanized brigade ,Ukraine,0,1,0,1,0,0,0,0,0
201,two mercenaries arrive ,Greece,1,1,0,0,0,0,0,0,0
202,stay strong safe amp give ,United States,0,1,0,0,0,0,0,0,0
203,mean break smaller states could occur whole place descend chaos ,Guatemala,1,0,1,0,0,0,0,0,0
204,busy day hustling dubai ,South Africa,0,1,0,0,0,0,0,0,0
205,surrendering deepest ideals favour certain benefits moral crisis strengthen power evil thr ,India,0,0,0,0,0,0,0,0,0
206,happy bless deserve ,Canada,1,1,0,0,0,0,0,0,0
207,focuses ukraine war amp allies preparing reinvade ,Sweden,1,1,1,0,0,0,0,0,0
208, held face face peace talks since march atmosphere soured ukra ,Israel,0,1,1,0,0,0,0,0,0
209,year old boy sees world raped soldier front mother find ,Estonia,1,0,1,0,0,0,0,0,0
210,work animals highlighted event amp shows exactly small animal welfare charities vita ,United States,1,1,0,0,0,0,0,0,0
211,watch minister wu exclusive interview via global public square discuss lessons ,Peru,3,0,0,0,0,0,0,0,0
212,join us discuss things ,United States,1,1,0,0,0,0,0,0,0
213,even coffee ,Germany,1,0,0,0,0,0,0,0,1
214,update yesterday attack rus hq designed liquidate high value target chief g ,France,1,1,0,0,0,0,0,0,0
215,priest moscow orthodox church killed cessna plane crash kranoyarsk krai pilot survived ,United Kingdom,1,0,1,0,0,0,0,0,0
216,work animals highlighted event amp shows exactly small animal welfare charities vita ,United Kingdom,1,1,0,0,0,0,0,0,0
217,watch exclusive army chief gen manoj pande amp talks border ,India,3,0,0,0,0,0,0,0,0
218,people including children women elderly evacuated azovstal mariupol ,France,1,1,0,0,0,0,0,0,0
219,year old boy sees world raped soldier front mother find ,Poland,1,0,1,0,0,0,0,0,0
220,spectre new global financial crisis looming index saw worst monthly drop since financial crisis ,Romania,2,0,0,0,0,0,0,0,0
221,also russians fighting side ukraine freedom legion goes fro ,Philippines,1,1,1,0,0,0,0,0,0
222,update yesterday attack rus hq designed liquidate high value target chief g ,Croatia,1,1,0,0,0,0,0,0,0
223,love seeing followers wife look like send ,United States,1,1,0,0,0,0,0,0,0
224,share point view like far right polish government must sa ,United Kingdom,4,0,0,0,0,0,0,0,0
225,watch exclusive army chief gen manoj pande amp talks border ,India,3,0,0,0,0,0,0,0,0
226,viktor works state emergency service backbone country emergency response providing key ,Japan,1,1,0,0,0,0,0,0,0
227,gonna call ,Austria,1,1,0,0,0,0,0,0,0
228,region east autumn months putin invaded destroyed ,Philippines,1,1,1,0,0,0,0,0,0
229,evacuation gives chance civilians particular mothers children restore normal lives receive ,Ukraine,0,0,0,0,0,0,0,0,0
230,update yesterday attack rus hq designed liquidate high value target chief g ,France,1,1,0,0,0,0,0,0,0
231,another ukrainian matriarch also known babushka locks horns young brainwashed head respect towards mo ,Serbia,1,0,0,0,0,0,0,0,0
232,update yesterday attack rus hq designed liquidate high value target chief g ,Poland,1,1,0,0,0,0,0,0,0
233,international committee red cross tells cnn working united nations ongoing operation ,Canada,2,0,0,0,0,0,0,0,0
234,ukraine history russia invade ,United States,1,1,1,0,0,0,0,0,0
235,pelosi secret visit ukraine highlights expanse limitations u support hill ,United States,1,1,0,0,0,0,0,0,0
236,got russian military scared even tanks want go ,Finland,1,1,0,0,0,0,0,0,0
237,interesting chief russian general staff injured near information unverified yet appeared ,Philippines,1,0,0,0,0,0,0,0,0
238,politicians visit ukraine reassure unwavering support commitment assist ukraine ,United States,1,2,0,0,0,0,0,0,0
239,cannot forget worst crimes war visit ,Canada,2,1,0,0,0,0,0,0,0
240,railway bridge destroyed kursk region later governor region said collapse railway bridg ,Norway,1,0,0,0,0,0,0,0,0
241,railway bridge destroyed kursk region later governor region said collapse railway bridg ,Finland,1,0,0,0,0,0,0,0,0
242,catastrophic explosion claimed russian tank eastern front ,Poland,1,1,0,0,0,0,0,0,0
243,natalia usmanova azovstal staff soldiers came us told us bunker ,Niger,1,0,0,0,0,0,0,0,0
244,year old boy sees world raped soldier front mother find ,El Salvador,1,0,1,0,0,0,0,0,0
245,veterans special forces arrived ,Japan,1,1,0,0,0,0,0,0,0
246,tell western countries signal ready prolonged contest ,Portugal,2,0,1,0,0,0,0,0,0
247,remember watching footage live pro russian yanukovych security forces shooting protesters kyiv vi ,Greece,1,0,0,0,0,0,0,0,0
248,year old boy sees world raped soldier front mother find ,Japan,1,0,1,0,0,0,0,0,0
249, hi james likely fake dubious account blocking sp ,Norway,3,0,0,0,0,0,0,0,0
250, target provisions billion aid bill ,Bangladesh,0,1,0,0,0,0,0,0,0
251,benedict cumberbatch spoken welcoming ukrainian refugees home able give stabilit ,Argentina,1,0,0,0,0,0,0,0,0
252,april attacked occupied snake island black sea amp destroyed russian anti air guns one anti ai ,Gibraltar,1,1,0,0,0,0,0,0,0
253,people including children women elderly evacuated azovstal mariupol ,Spain,1,1,0,0,0,0,0,0,0
254,nice compilation glory ,Germany,1,1,0,0,0,0,0,0,0
255,fuck another c amp c destroyed area like gerasimov mumu glory ,Australia,1,1,0,0,0,0,0,0,0
256,former german chancellor gerhard schr der deprived state funding continued business relations wit ,Netherlands,1,0,0,0,0,0,0,0,0
257,insightful piece demonstrating gave neutrality long time ago ,Germany,2,0,0,0,0,0,0,0,0
258,volunteers glory heroes ,Canada,1,1,0,0,0,0,0,0,0
259, attention important course impacts whole world even fraction ,United States,0,1,0,0,0,0,0,0,0
